cid,bdate,gen
AW00011080,1965-01-13,Male
AW00011081,1972-01-21,Female
AW00011082,1972-02-01,Female
AW00011083,1977-03-11,Female
AW00011084,1963-03-12,Male
AW00011085,1963-01-16,Female
AW00011086,1963-06-22,Male
AW00011087,1963-04-02,Female
AW00011088,1963-05-25,Male
AW00011089,1962-08-05,Female
AW00011090,1968-12-13,Male
AW00011091,1962-10-02,Male
AW00011092,1972-11-02,Female
AW00011093,1978-09-06,Female
AW00011094,1967-09-29,Male
AW00011095,1968-02-29,Male
AW00011096,1968-02-07,Male
AW00011097,1972-10-23,Male
AW00011098,1966-10-29,Female
AW00011099,1966-09-05,Male
AW00011100,1966-03-15,Female
AW00011101,1970-11-05,Female
AW00011102,1970-10-19,Female
AW00011103,1981-04-12,Female
AW00011104,1975-03-08,Male
AW00011105,1970-06-27,Female
AW00011106,1970-03-11,Male
AW00011107,1976-03-04,Female
AW00011108,1969-01-10,Female
AW00011109,1980-04-30,Male
AW00011110,1967-12-04,Male
AW00011111,1967-08-23,Female
AW00011112,1968-03-08,Female
AW00011113,1973-02-17,Male
AW00011114,1967-11-25,Female
AW00011115,1967-08-12,Male
AW00011116,1979-04-02,Male
AW00011117,1966-08-21,Female
AW00011118,1962-12-31,Male
AW00011119,1940-10-07,Male
AW00011120,1942-02-06,Female
AW00011121,1966-05-18,Male
AW00011122,1965-09-30,Male
AW00011123,1965-12-18,Male
AW00011124,1968-07-23,Male
AW00011125,1961-10-06,Female
AW00011126,1954-10-05,Male
AW00011127,1981-04-19,Female
AW00011128,1981-06-03,Female
AW00011129,1981-02-01,Female
AW00011130,1985-07-05,Female
AW00011131,1985-09-09,Female
AW00011132,1986-04-25,Female
AW00011133,1986-03-08,Female
AW00011134,1957-02-22,Male
AW00011135,1985-05-02,Male
AW00011136,1984-04-24,Female
AW00011137,1984-01-17,Female
AW00011138,1984-03-14,Female
AW00011139,1949-11-05,Female
AW00011140,1982-08-11,Male
AW00011141,1982-12-19,Female
AW00011142,1983-02-11,Male
AW00011143,1982-08-04,Male
AW00011144,1985-03-08,Male
AW00011145,1985-06-06,Female
AW00011146,1945-02-22,Female
AW00011147,1944-08-04,Male
AW00011148,1947-02-13,Male
AW00011149,1946-10-18,Male
AW00011150,1946-09-12,Male
AW00011151,1947-08-25,Female
AW00011152,1981-07-09,Male
AW00011153,1981-12-21,Female
AW00011154,1982-02-18,Female
AW00011155,1981-07-25,Male
AW00011156,1981-08-06,Female
AW00011157,1980-12-08,Female
AW00011158,1981-04-06,Male
AW00011159,1981-03-16,Female
AW00011160,1979-07-08,Male
AW00011161,1979-10-20,Female
AW00011162,1979-09-02,Male
AW00011163,1980-06-18,Male
AW00011164,1979-11-02,Male
AW00011165,1979-01-15,Female
AW00011166,1977-10-22,Female
AW00011167,1978-01-29,Female
AW00011168,1973-11-12,Male
AW00011169,1973-12-20,Male
AW00011170,1973-08-04,Female
AW00011171,1978-10-05,Male
AW00011172,1973-05-20,Female
AW00011173,1973-02-28,Female
AW00011174,1973-01-09,Male
AW00011175,1968-09-01,Male
AW00011176,1979-01-21,Male
AW00011177,1948-01-01,Male
AW00011178,1954-08-20,Male
AW00011179,1959-12-08,Female
AW00011180,1948-07-01,Female
AW00011181,1960-02-01,Male
AW00011182,1950-02-22,Female
AW00011183,1950-01-12,Female
AW00011184,1955-11-13,Female
AW00011185,1950-04-07,Female
AW00011186,1949-11-18,Female
AW00011187,1949-08-21,Female
AW00011188,1950-03-06,Female
AW00011189,1950-01-12,Male
AW00011190,1949-12-20,Male
AW00011191,1951-06-17,Female
AW00011192,1951-03-13,Male
AW00011193,1950-08-13,Male
AW00011194,1950-12-08,Female
AW00011195,1951-08-10,Female
AW00011196,1951-12-05,Male
AW00011197,1951-12-16,Female
AW00011198,1952-05-25,Female
AW00011199,1957-11-02,Female
AW00011200,1953-05-21,Male
AW00011201,1953-02-14,Female
AW00011202,1958-08-22,Female
AW00011203,1959-08-18,Male
AW00011204,1953-11-29,Female
AW00011205,1954-01-21,Female
AW00011206,1954-03-24,Male
AW00011207,1954-01-16,Female
AW00011208,1953-08-03,Female
AW00011209,1953-07-12,Female
AW00011210,1953-12-06,Male
AW00011211,1960-10-08,Female
AW00011212,1955-05-05,Female
AW00011213,1954-11-11,Female
AW00011214,1955-05-07,Male
AW00011215,1961-06-17,Female
AW00011216,1955-11-17,Female
AW00011217,1955-08-11,Female
AW00011218,1961-09-07,Female
AW00011219,1956-05-31,Male
AW00011220,1961-02-19,Female
AW00011221,1955-12-08,Male
AW00011222,1956-02-14,Female
AW00011223,1957-03-15,Female
AW00011224,1957-03-05,Female
AW00011225,1962-02-12,Female
AW00011226,1962-09-23,Female
AW00011227,1962-08-08,Male
AW00011228,1956-10-16,Female
AW00011229,1957-06-01,Male
AW00011230,1956-09-30,Female
AW00011231,1963-11-11,Male
AW00011232,1958-03-27,Female
AW00011233,1963-09-06,Male
AW00011234,1958-05-19,Female
AW00011235,1957-08-07,Male
AW00011236,1957-09-02,Male
AW00011237,1964-03-22,Male
AW00011238,1964-02-07,Female
AW00011239,1969-10-02,Female
AW00011240,1964-06-09,Female
AW00011241,1974-04-06,Female
AW00011242,1963-05-11,Male
AW00011243,1963-04-08,Female
AW00011244,1968-11-22,Female
AW00011245,1962-04-26,Male
AW00011246,1962-04-08,Female
AW00011247,1961-12-04,Female
AW00011248,1966-03-22,Male
AW00011249,1966-07-09,Female
AW00011250,1966-03-08,Female
AW00011251,1938-01-01,Male
AW00011252,1937-12-05,Male
AW00011253,1949-08-24,Male
AW00011254,1938-08-31,Male
AW00011255,1938-10-02,Male
AW00011256,1939-03-20,Female
AW00011257,,Female
AW00011258,1938-12-26,Male
AW00011259,1970-09-24,Female
AW00011260,1976-04-08,Female
AW00011261,1970-10-22,Female
AW00011262,1975-05-01,Female
AW00011263,1970-03-11,Female
AW00011264,1969-12-15,Male
AW00011265,1970-01-10,Female
AW00011266,1969-11-02,Female
AW00011267,1975-09-29,Male
AW00011268,1969-10-31,Female
AW00011269,1975-10-10,Male
AW00011270,1975-05-01,Male
AW00011271,1969-12-03,Female
AW00011272,1962-05-10,Female
AW00011273,1962-03-31,Male
AW00011274,1939-10-10,Male
AW00011275,1939-07-18,Female
AW00011276,1974-09-15,Female
AW00011277,1968-12-07,Male
AW00011278,1969-02-16,Male
AW00011279,1974-09-08,Female
AW00011280,1969-02-17,Male
AW00011281,1974-10-06,Female
AW00011282,1967-07-16,Male
AW00011283,1968-04-24,Male
AW00011284,1967-09-24,Female
AW00011285,1973-03-15,Male
AW00011286,1967-08-31,Male
AW00011287,1966-07-16,Male
AW00011288,1978-03-12,Female
AW00011289,1972-03-03,Female
AW00011290,1972-08-14,Female
AW00011291,1972-05-01,Female
AW00011292,1967-05-05,Male
AW00011293,1960-11-23,Male
AW00011294,1961-03-02,Male
AW00011295,1959-11-13,Female
AW00011296,1941-04-05,Female
AW00011297,1940-08-01,Male
AW00011298,1940-08-30,Male
AW00011299,1941-09-29,Male
AW00011300,1965-08-31,Male
AW00011301,1965-12-07,Male
AW00011302,1971-12-09,Male
AW00011303,1966-04-10,Female
AW00011304,1971-03-14,Female
AW00011305,1965-12-17,Male
AW00011306,1965-12-20,Male
AW00011307,1965-10-31,Male
AW00011308,1959-09-02,Male
AW00011309,1959-12-10,Female
AW00011310,1964-07-05,Female
AW00011311,1959-02-21,Female
AW00011312,1958-10-01,Female
AW00011313,1958-08-27,Male
AW00011314,1970-06-16,Female
AW00011315,1959-03-31,Female
AW00011316,1959-05-17,Male
AW00011317,1963-09-14,Female
AW00011318,1958-04-25,Female
AW00011319,1948-04-23,Female
AW00011320,1942-12-24,Female
AW00011321,1944-01-05,Male
AW00011322,1943-09-12,Female
AW00011323,1943-12-18,Male
AW00011324,1944-11-10,Male
AW00011325,1944-12-29,Male
AW00011326,1944-12-23,Male
AW00011327,1945-09-01,Male
AW00011328,1945-06-30,Male
AW00011329,1946-01-22,Male
AW00011330,1945-11-10,Male
AW00011331,1974-01-03,Female
AW00011332,1968-04-02,Female
AW00011333,1968-01-07,Female
AW00011334,1966-09-19,Female
AW00011335,1977-12-18,Female
AW00011336,1973-03-08,Male
AW00011337,1967-03-21,Male
AW00011338,1972-08-06,Male
AW00011339,1967-01-05,Male
AW00011340,1947-04-03,Female
AW00011341,1942-02-18,Male
AW00011342,1973-03-07,Male
AW00011343,1975-03-09,Male
AW00011344,1963-01-21,Female
AW00011345,1962-09-09,Female
AW00011346,1966-05-18,Female
AW00011347,1972-06-17,Male
AW00011348,1961-03-21,Male
AW00011349,1965-08-30,Female
AW00011350,1942-07-14,Female
AW00011351,1950-04-02,Female
AW00011352,1945-09-04,Male
AW00011353,1946-12-09,Female
AW00011354,1947-08-23,Female
AW00011355,1948-06-26,Male
AW00011356,1985-11-24,Male
AW00011357,1984-09-19,Male
AW00011358,1984-05-10,Female
AW00011359,1984-03-03,Male
AW00011360,1984-01-30,Male
AW00011361,1982-10-26,Female
AW00011362,1983-05-11,Male
AW00011363,1983-04-19,Male
AW00011364,1985-03-22,Female
AW00011365,1984-12-06,Female
AW00011366,1985-04-23,Female
AW00011367,1984-08-21,Male
AW00011368,1984-05-24,Male
AW00011369,1984-02-01,Female
AW00011370,1983-09-29,Female
AW00011371,1983-11-24,Female
AW00011372,1983-11-12,Female
AW00011373,1954-09-16,Female
AW00011374,1948-12-25,Male
AW00011375,1948-11-05,Male
AW00011376,1948-12-07,Male
AW00011377,1966-08-23,Male
AW00011378,1965-11-19,Female
AW00011379,1976-05-13,Male
AW00011380,1964-08-29,Male
AW00011381,1970-08-18,Female
AW00011382,1974-07-15,Male
AW00011383,1966-02-25,Female
AW00011384,1971-10-13,Female
AW00011385,1971-08-08,Male
AW00011386,1971-11-02,Female
AW00011387,1964-11-29,Female
AW00011388,1965-01-20,Male
AW00011389,1981-04-20,Male
AW00011390,1976-04-17,Female
AW00011391,1976-06-25,Female
AW00011392,1981-02-03,Male
AW00011393,1974-07-17,Male
AW00011394,1975-04-22,Male
AW00011395,1976-04-16,Female
AW00011396,1975-04-04,Male
AW00011397,1974-12-02,Female
AW00011398,1975-03-09,Male
AW00011399,1975-02-01,Female
AW00011400,1980-04-15,Male
AW00011401,1975-02-23,Female
AW00011402,1975-05-20,Female
AW00011403,1980-01-06,Female
AW00011404,1957-06-30,Female
AW00011405,1957-08-16,Female
AW00011406,1957-12-31,Female
AW00011407,1957-09-30,Male
AW00011408,1964-05-10,Male
AW00011409,1979-03-02,Female
AW00011410,,Male
AW00011411,1959-08-12,Male
AW00011412,1959-10-07,Female
AW00011413,1959-10-13,Female
AW00011414,1959-09-15,Male
AW00011415,1949-12-03,Male
AW00011416,1950-09-16,Female
AW00011417,1950-08-26,Female
AW00011418,1950-08-09,Male
AW00011419,1950-08-18,Male
AW00011420,1952-01-09,Male
AW00011421,1952-01-16,Female
AW00011422,1952-02-29,Male
AW00011423,1960-05-04,Female
AW00011424,1964-12-03,Female
AW00011425,1965-08-02,Female
AW00011426,1959-04-01,Male
AW00011427,1959-06-17,Female
AW00011428,1959-02-19,Female
AW00011429,1958-01-13,Male
AW00011430,1957-09-21,Female
AW00011431,1974-10-20,Male
AW00011432,1957-03-10,Female
AW00011433,1957-03-01,Male
AW00011434,1962-05-02,Male
AW00011435,1955-09-03,Female
AW00011436,1956-03-17,Female
AW00011437,1955-06-16,Male
AW00011438,1955-04-13,Female
AW00011439,1953-11-14,Female
AW00011440,1953-03-26,Male
AW00011441,1952-12-09,Female
AW00011442,1953-05-13,Male
AW00011443,1981-11-19,Female
AW00011444,1981-10-26,Female
AW00011445,1980-01-18,Female
AW00011446,1980-02-09,Female
AW00011447,1980-02-13,Female
AW00011448,1980-10-25,Male
AW00011449,1980-08-01,Male
AW00011450,1981-05-11,Male
AW00011451,1980-05-08,Male
AW00011452,1979-05-05,Female
AW00011453,1984-08-17,Male
AW00011454,1979-10-20,Female
AW00011455,1979-10-19,Male
AW00011456,1980-01-05,Male
AW00011457,1978-11-18,Female
AW00011458,1978-10-03,Female
AW00011459,1978-04-12,Female
AW00011460,1983-10-04,Male
AW00011461,1977-09-22,Male
AW00011462,1977-07-18,Female
AW00011463,1977-09-09,Female
AW00011464,1977-05-15,Male
AW00011465,1976-08-18,Male
AW00011466,1977-01-30,Male
AW00011467,1975-04-06,Male
AW00011468,1980-12-15,Female
AW00011469,1978-10-14,Male
AW00011470,1979-03-25,Male
AW00011471,1979-03-25,Female
AW00011472,1968-09-30,Male
AW00011473,1986-01-30,Female
AW00011474,1985-08-21,Male
AW00011475,1984-04-07,Male
AW00011476,1980-05-16,Female
AW00011477,1984-06-21,Male
AW00011478,1984-02-22,Male
AW00011479,1978-10-20,Male
AW00011480,1984-03-07,Female
AW00011481,1978-11-20,Female
AW00011482,1978-01-16,Female
AW00011483,1983-05-19,Male
AW00011484,1983-03-03,Male
AW00011485,1978-02-04,Male
AW00011486,1982-05-21,Female
AW00011487,1977-01-05,Female
AW00011488,1977-03-20,Male
AW00011489,1976-09-03,Female
AW00011490,1976-07-05,Male
AW00011491,1982-04-02,Male
AW00011492,1982-11-15,Male
AW00011493,1976-05-31,Female
AW00011494,1976-01-25,Male
AW00011495,1977-03-03,Male
AW00011496,1976-04-15,Male
AW00011497,1981-11-22,Female
AW00011498,1979-07-15,Male
AW00011499,1980-05-13,Male
AW00011500,1980-03-17,Female
AW00011501,1981-01-03,Female
AW00011502,1980-09-03,Male
AW00011503,1936-04-11,Male
AW00011504,1936-10-17,Female
AW00011505,1972-01-04,Female
AW00011506,1971-11-14,Male
AW00011507,1972-05-19,Female
AW00011508,1972-01-04,Female
AW00011509,1964-07-22,Female
AW00011510,1959-01-10,Male
AW00011511,1964-06-10,Male
AW00011512,1976-08-05,Female
AW00011513,1965-09-23,Female
AW00011514,1965-04-16,Male
AW00011515,1959-08-25,Female
AW00011516,1976-10-13,Female
AW00011517,1959-12-18,Female
AW00011518,1960-11-06,Male
AW00011519,1960-09-13,Male
AW00011520,1960-10-08,Female
AW00011521,1977-12-01,Female
AW00011522,1972-06-17,Male
AW00011523,1962-02-07,Male
AW00011524,1961-07-22,Female
AW00011525,1961-07-08,Female
AW00011526,1973-01-30,Female
AW00011527,1961-12-02,Female
AW00011528,1968-08-15,Female
AW00011529,1963-05-16,Male
AW00011530,1963-01-23,Male
AW00011531,1962-07-07,Female
AW00011532,1962-08-26,Female
AW00011533,1968-07-17,Female
AW00011534,1964-05-12,Male
AW00011535,1963-12-31,Male
AW00011536,1969-04-13,Male
AW00011537,1963-09-21,Male
AW00011538,1965-02-24,Female
AW00011539,1970-08-18,Male
AW00011540,1970-01-24,Male
AW00011541,1964-10-09,Male
AW00011542,1979-09-07,Male
AW00011543,1973-08-16,Female
AW00011544,1979-05-04,Male
AW00011545,1973-09-22,Male
AW00011546,1973-09-11,Female
AW00011547,1979-03-05,Female
AW00011548,1974-04-11,Male
AW00011549,1979-09-03,Female
AW00011550,1979-08-05,Female
AW00011551,,Male
AW00011552,1972-11-23,Male
AW00011553,1973-03-08,Female
AW00011554,1932-03-27,Female
AW00011555,1937-07-04,Female
AW00011556,1972-11-10,Male
AW00011557,1972-07-14,Female
AW00011558,1973-02-18,Male
AW00011559,1978-12-12,Male
AW00011560,1978-08-09,Female
AW00011561,1972-01-21,Female
AW00011562,,Male
AW00011563,1971-08-01,Male
AW00011564,1972-01-09,Male
AW00011565,1971-12-30,Male
AW00011566,1973-03-01,Female
AW00011567,1978-09-19,Female
AW00011568,1972-04-21,Female
AW00011569,1977-05-06,Male
AW00011570,1971-07-22,Female
AW00011571,1971-11-15,Male
AW00011572,1977-03-11,Male
AW00011573,1976-11-11,Female
AW00011574,1971-01-14,Female
AW00011575,1970-10-19,Male
AW00011576,1970-08-10,Male
AW00011577,1971-04-21,Female
AW00011578,1970-05-08,Female
AW00011579,1981-02-13,Male
AW00011580,1939-03-12,Male
AW00011581,,Female
AW00011582,1974-04-09,Female
AW00011583,1971-03-26,Female
AW00011584,1971-05-22,Male
AW00011585,1976-03-04,Female
AW00011586,1971-06-14,Male
AW00011587,1975-10-18,Male
AW00011588,1970-01-11,Female
AW00011589,1975-05-01,Female
AW00011590,1980-04-12,Female
AW00011591,1968-11-12,Female
AW00011592,1984-03-03,Male
AW00011593,1982-09-22,Male
AW00011594,1985-05-03,Male
AW00011595,1984-12-29,Male
AW00011596,1969-03-02,Male
AW00011597,1983-08-06,Female
AW00011598,1983-12-30,Female
AW00011599,1983-03-16,Female
AW00011600,1982-10-05,Female
AW00011601,1983-02-18,Male
AW00011602,1982-10-11,Male
AW00011603,1982-08-06,Male
AW00011604,1982-12-01,Male
AW00011605,1982-05-20,Female
AW00011606,1986-01-30,Female
AW00011607,1986-05-05,Male
AW00011608,1981-09-01,Male
AW00011609,1981-12-24,Male
AW00011610,1980-10-20,Male
AW00011611,1985-02-23,Male
AW00011612,1985-10-07,Male
AW00011613,1981-05-02,Female
AW00011614,1981-02-13,Female
AW00011615,1981-05-20,Male
AW00011616,1980-09-05,Female
AW00011617,1964-10-01,Male
AW00011618,1964-10-21,Male
AW00011619,1978-10-29,Female
AW00011620,1978-10-18,Female
AW00011621,1978-08-19,Female
AW00011622,1979-06-16,Male
AW00011623,1978-12-25,Female
AW00011624,1984-03-19,Male
AW00011625,1978-07-19,Male
AW00011626,1978-12-12,Female
AW00011627,1978-08-27,Male
AW00011628,1977-11-14,Female
AW00011629,1976-08-07,Male
AW00011630,1977-06-23,Female
AW00011631,1976-08-12,Male
AW00011632,1982-05-02,Female
AW00011633,1977-11-23,Male
AW00011634,1977-12-10,Male
AW00011635,1983-08-11,Male
AW00011636,1978-06-21,Female
AW00011637,1983-08-11,Female
AW00011638,1977-09-09,Male
AW00011639,1978-06-22,Female
AW00011640,1975-10-31,Female
AW00011641,1976-02-09,Male
AW00011642,1976-06-24,Female
AW00011643,1976-01-24,Female
AW00011644,1975-04-06,Male
AW00011645,1975-04-18,Female
AW00011646,1980-03-15,Female
AW00011647,1975-03-22,Male
AW00011648,1980-04-12,Male
AW00011649,1980-01-23,Male
AW00011650,1975-01-23,Male
AW00011651,1982-12-13,Female
AW00011652,1982-05-01,Male
AW00011653,1982-06-04,Female
AW00011654,1977-03-18,Female
AW00011655,1982-03-28,Female
AW00011656,1977-03-19,Female
AW00011657,1976-10-31,Female
AW00011658,1985-08-03,Male
AW00011659,1974-10-20,Male
AW00011660,1980-01-19,Female
AW00011661,1981-01-03,Male
AW00011662,1976-01-01,Male
AW00011663,1975-08-25,Male
AW00011664,1975-08-09,Female
AW00011665,1976-06-11,Female
AW00011666,1981-12-13,Male
AW00011667,1972-12-18,Male
AW00011668,1984-03-02,Female
AW00011669,1978-10-17,Female
AW00011670,1973-04-15,Female
AW00011671,1971-11-15,Female
AW00011672,1972-03-20,Male
AW00011673,1977-02-03,Female
AW00011674,1972-02-15,Female
AW00011675,1977-01-29,Male
AW00011676,1971-08-13,Male
AW00011677,1980-10-10,Male
AW00011678,1974-07-28,Male
AW00011679,1974-11-05,Male
AW00011680,1975-03-04,Female
AW00011681,1975-02-04,Female
AW00011682,1980-03-12,Female
AW00011683,1974-07-05,Male
AW00011684,1971-03-31,Male
AW00011685,1970-08-07,Male
AW00011686,1976-04-09,Male
AW00011687,1976-07-09,Male
AW00011688,1976-12-21,Female
AW00011689,1971-03-06,Male
AW00011690,1976-01-10,Female
AW00011691,1974-12-30,Female
AW00011692,1969-12-17,Male
AW00011693,1975-09-21,Female
AW00011694,1969-09-21,Male
AW00011695,1969-07-10,Male
AW00011696,1975-04-02,Female
AW00011697,1975-06-21,Male
AW00011698,1975-11-22,Male
AW00011699,1968-09-12,Male
AW00011700,1969-05-24,Male
AW00011701,1985-08-16,Male
AW00011702,1974-10-13,Female
AW00011703,1973-12-22,Female
AW00011704,1973-11-29,Male
AW00011705,1979-05-18,Female
AW00011706,1968-08-13,Male
AW00011707,1969-06-20,Female
AW00011708,1974-09-15,Female
AW00011709,1968-08-18,Female
AW00011710,1967-09-17,Female
AW00011711,1973-12-04,Male
AW00011712,1968-05-02,Female
AW00011713,1967-09-17,Male
AW00011714,1968-04-16,Female
AW00011715,1968-03-20,Female
AW00011716,1967-04-20,Male
AW00011717,1972-08-29,Male
AW00011718,1972-11-10,Female
AW00011719,1971-05-05,Male
AW00011720,1965-09-23,Female
AW00011721,1971-01-18,Female
AW00011722,1965-12-30,Male
AW00011723,1973-02-17,Male
AW00011724,1972-10-12,Male
AW00011725,1973-03-16,Male
AW00011726,1973-01-13,Male
AW00011727,1973-01-05,Male
AW00011728,1965-07-06,Male
AW00011729,1971-05-03,Male
AW00011730,1966-04-01,Female
AW00011731,1966-02-16,Female
AW00011732,1970-02-04,Male
AW00011733,1970-07-23,Female
AW00011734,1970-08-21,Male
AW00011735,1964-07-21,Female
AW00011736,1970-09-21,Male
AW00011737,1970-02-04,Female
AW00011738,1970-10-05,Male
AW00011739,1964-11-10,Male
AW00011740,1964-10-21,Female
AW00011741,1965-01-22,Female
AW00011742,1964-05-01,Male
AW00011743,1974-09-09,Male
AW00011744,1964-03-06,Female
AW00011745,1964-04-11,Female
AW00011746,1964-05-30,Male
AW00011747,1963-08-09,Female
AW00011748,1964-01-15,Male
AW00011749,1980-09-09,Male
AW00011750,1984-09-17,Female
AW00011751,1976-01-14,Female
AW00011752,1981-05-03,Female
AW00011753,1975-09-15,Female
AW00011754,1976-01-05,Female
AW00011755,1973-11-12,Male
AW00011756,1974-03-13,Female
AW00011757,1979-05-11,Male
AW00011758,1979-12-19,Male
AW00011759,1980-11-18,Female
AW00011760,1973-04-25,Female
AW00011761,1972-10-16,Male
AW00011762,1984-02-17,Male
AW00011763,1972-08-10,Male
AW00011764,1973-01-13,Female
AW00011765,1983-04-06,Male
AW00011766,1972-01-01,Female
AW00011767,1977-05-20,Female
AW00011768,1983-04-03,Male
AW00011769,1979-02-14,Female
AW00011770,1979-02-20,Male
AW00011771,1979-04-07,Male
AW00011772,1984-01-21,Male
AW00011773,1979-01-03,Male
AW00011774,1978-10-10,Female
AW00011775,,Female
AW00011776,1978-12-31,Male
AW00011777,1978-01-21,Female
AW00011778,1976-09-17,Female
AW00011779,1977-01-15,Female
AW00011780,1977-05-19,Female
AW00011781,1976-09-06,Male
AW00011782,1982-03-13,Female
AW00011783,1982-11-13,Female
AW00011784,1978-06-18,Male
AW00011785,1983-02-21,Male
AW00011786,1978-03-13,Male
AW00011787,1978-03-05,Male
AW00011788,1977-08-18,Female
AW00011789,1981-02-16,Female
AW00011790,1981-05-17,Male
AW00011791,1975-10-19,Male
AW00011792,1974-11-24,Female
AW00011793,1980-03-16,Male
AW00011794,1975-05-01,Female
AW00011795,1974-08-15,Female
AW00011796,1985-08-03,Female
AW00011797,1980-03-03,Male
AW00011798,1974-08-12,Male
AW00011799,1980-09-09,Male
AW00011800,1975-05-07,Female
AW00011801,1975-03-16,Male
AW00011802,1977-02-05,Female
AW00011803,1977-03-11,Female
AW00011804,1976-10-15,Female
AW00011805,1976-09-08,Male
AW00011806,1982-08-06,Female
AW00011807,1977-03-03,Male
AW00011808,1974-10-10,Male
AW00011809,1973-07-01,Male
AW00011810,1978-01-03,Male
AW00011811,1978-06-11,Female
AW00011812,1973-03-21,Male
AW00011813,1973-05-11,Female
AW00011814,1976-01-05,Male
AW00011815,1981-04-20,Female
AW00011816,1981-10-19,Male
AW00011817,1981-11-23,Female
AW00011818,1975-10-20,Male
AW00011819,1973-04-08,Male
AW00011820,1977-08-22,Female
AW00011821,1971-10-13,Male
AW00011822,1971-12-11,Female
AW00011823,1977-10-20,Female
AW00011824,1977-10-03,Female
AW00011825,1971-11-15,Female
AW00011826,1971-08-15,Female
AW00011827,1980-09-16,Female
AW00011828,1980-06-04,Female
AW00011829,1975-05-02,Female
AW00011830,1974-07-15,Female
AW00011831,1975-05-24,Male
AW00011832,1976-04-01,Female
AW00011833,1982-01-16,Male
AW00011834,1982-04-20,Male
AW00011835,1970-12-17,Male
AW00011836,1970-10-25,Male
AW00011837,1976-08-05,Female
AW00011838,1970-08-09,Male
AW00011839,1976-07-21,Male
AW00011840,1976-05-13,Male
AW00011841,1969-09-13,Male
AW00011842,1970-04-03,Male
AW00011843,1975-11-08,Female
AW00011844,1969-10-06,Female
AW00011845,1930-02-15,Female
AW00011846,1969-12-13,Female
AW00011847,1970-05-31,Female
AW00011848,1975-02-24,Male
AW00011849,1970-03-13,Female
AW00011850,1980-09-16,Female
AW00011851,1969-03-07,Female
AW00011852,1969-04-23,Male
AW00011853,1979-11-15,Female
AW00011854,1973-10-16,Male
AW00011855,1974-08-09,Male
AW00011856,1969-02-13,Male
AW00011857,1974-03-08,Female
AW00011858,1968-06-05,Male
AW00011859,1968-03-08,Male
AW00011860,1967-07-09,Female
AW00011861,1967-10-22,Female
AW00011862,1972-09-11,Female
AW00011863,1967-04-10,Female
AW00011864,1967-03-06,Female
AW00011865,1966-08-06,Female
AW00011866,1966-12-30,Male
AW00011867,1971-04-21,Male
AW00011868,1973-01-31,Female
AW00011869,1984-05-01,Female
AW00011870,1978-07-10,Female
AW00011871,1978-08-12,Male
AW00011872,1978-07-17,Female
AW00011873,1972-10-09,Male
AW00011874,1978-03-06,Male
